smiles,IC50
FC1=CC=C(CC2=CC=C(O2)C(=O)CC(=O)C3=NN=CN3)C=C1,46
OC(=O)C(=O)CC(=O)C1=CC=CN1CC2=CC=C(F)C=C2,37
OC(=O)C(=O)CC(=O)C1=CC=CC(CC2=CC=CC=C2)=C1,26
CCC(CO)N1C=C(C(O)=O)C(=O)C2=CC(CC3=CC=CC(Cl)=C3F)=CC=C12,42
OC1=C(N=C(N2CCCCS2(=O)=O)C3=CC=CN=C13)C(=O)NCC4=CC=C(F)C=C4,44
COC1=C2CN(CC3=CC=C(F)C=C3)C(=O)C2=C(O)C4=NC=CC=C14,60
COC1=C2CN(C)C(=O)C2=C(O)C3=NC=C(CC4=CC=C(F)C=C4)C=C13,100
COC1=C2CNC(=O)C2=C(O)C3=NC=C(CC4=CC=C(F)C=C4)C=C13,14
COC1=C2CN(CC3=CC=C(F)C=C3)C(=O)C2=C(O)C4=NC=C(CC5=CC=C(F)C=C5)C=C14,600
CN(C1=C2CN(C)C(=O)C2=C(O)C3=NC=C(CC4=CC=C(F)C=C4)C=C13)S(C)(=O)=O,80
CN(C1=C2CN(C)C(=O)C2=C(O)C3=NC=C(CC4=CC=C(F)C(Cl)=C4)C=C13)S(C)(=O)=O,265
OC1=C(N=CC2=CC=CN=C12)C3=NOC(CC4=CC=CC=C4)=N3,950
OC1=C(N=CC2=CC=CN=C12)C3=NOC(CC4=CC=C(F)C=C4)=N3,130
OC1=C(N=CC2=CC=CN=C12)C3=NN=C(CC4=CC=CC=C4)N3,360
OC1=C(N=CC2=CC=CN=C12)C3=NN=C(CC4=CC=C(F)C=C4)N3,130
OC1=C(N=CC2=CC=CN=C12)C3=NN=C(CC4=CC=C(Cl)C=C4)N3,640
OC1=C(N=CC2=CC=CN=C12)C3=NN=C(CC4=CC=CC=C4)O3,130
OC1=C(N=CC2=CC=CN=C12)C3=NN=C(CC4=CC=C(F)C=C4)O3,42
OC1=C(N=CC2=CC=CN=C12)C(=O)NCC3=CC=C(F)C=C3,12
OC1=C(N=C(N2CCCCS2(=O)=O)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)N4,11
OC1=C(N=C(N2CCCCS2(=O)=O)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,2
OC1=C(N=C(N2CCCCS2(=O)=O)C3=CC=CN=C13)C(=O)NCC4=CC=C(F)C=C4,13
OC1=C(N=C(N2CCCC2=O)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,19
OC1=C(N=C(N2CCCCC2=O)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,88
OC1=C(N=C(N2CCCCCC2=O)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,25
CC(=O)NC1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,72
CN(C(C)=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,28
CCOC(=O)C(=O)NC1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,33
